term	realization	matches	good	total	precision	kept	example_failure	example_failure_bound_words
have a normal one	filled	19080	5	12	0.42	no	Have a drink with me.	Have … drink
have someone going	filled	19080	0	12	0.00	no	A Japanese garden usually has a pond in it.	has … pond
have something going for one	filled	19080	0	12	0.00	no	A Japanese garden usually has a pond in it.	has … pond
have something on good authority	filled	19080	0	12	0.00	no	A Japanese garden usually has a pond in it.	has … pond
have something over someone	filled	19080	0	12	0.00	no	A Japanese garden usually has a pond in it.	has … pond
have something to show for something	filled	19080	0	12	0.00	no	A Japanese garden usually has a pond in it.	has … pond
all one wants	filled	13203	0	12	0.00	no	A Luftwaffe captain wants to see the prisoners in the detention barracks.	captain … wants
do someone like that	filled	12012	0	12	0.00	no	A Japanese would never do such a thing.	do … thing
all one likes	filled	6834	1	12	0.08	no	A cousin who's LIKE a younger sister, really.	who … LIKE
make one	filled	6654	1	12	0.08	no	A German hostess made love to a Turk on an intercontinental flight.	made … love
know someone	filled	4199	4	12	0.33	no	A baby does not know good or evil.	know … good
know someone from Adam	filled	4199	0	12	0.00	no	A baby does not know good or evil.	know … good
know someone from Adam's off ox	filled	4199	0	12	0.00	no	A baby does not know good or evil.	know … good
know someone from Eve	filled	4199	0	12	0.00	no	A baby does not know good or evil.	know … good
know someone from a can of paint	filled	4199	0	12	0.00	no	A baby does not know good or evil.	know … good
know someone from a hole in the ground	filled	4199	0	12	0.00	no	A baby does not know good or evil.	know … good
know someone from a hole in the wall	filled	4199	0	12	0.00	no	A baby does not know good or evil.	know … good
know someone from the man in the moon	filled	4199	0	12	0.00	no	A baby does not know good or evil.	know … good
know someone from the man on the moon	filled	4199	0	12	0.00	no	A baby does not know good or evil.	know … good
give someone something to think about	filled	3566	0	12	0.00	no	A cow gives us milk.	gives … us … milk
find oneself	filled	3325	0	12	0.00	no	A few bucks to keep things quiet no matter what they found.	what … found
help oneself	filled	2448	1	12	0.08	no	A cigarette might help my memory.	help … memory
buy the big one	filled	2108	0	12	0.00	no	A few dollars to buy some record albums?	buy … albums
kill oneself	filled	2034	0	12	0.00	no	A blow from a falling stone killed him.	killed … him
talk to oneself	filled	1502	0	12	0.00	no	A cop, he wanted to talk to mom.	talk … to … mom
you know something	filled	1319	7	12	0.58	no	Do you know Aman?	you … know … Aman
what someone said	filled	1171	9	12	0.75	yes	What did the boy say?	What … boy … say
make one	clitic	1112	8	12	0.67	yes	I know I can make it.	make … it
come to oneself	filled	1030	0	12	0.00	no	A few minutes ago, a good idea came to me.	came … to … me
show oneself	filled	979	1	12	0.08	no	A chance for Faramir, captain of Gondor, to show his quality.	show … quality
know someone from Adam	clitic	828	0	12	0.00	no	A man is an animal willing to die for those who know him well.	know … him
know someone from Adam's off ox	clitic	828	0	12	0.00	no	A man is an animal willing to die for those who know him well.	know … him
know someone from a can of paint	clitic	828	0	12	0.00	no	A man is an animal willing to die for those who know him well.	know … him
know someone from a hole in the ground	clitic	828	0	12	0.00	no	A man is an animal willing to die for those who know him well.	know … him
know someone from the man in the moon	clitic	828	0	12	0.00	no	A man is an animal willing to die for those who know him well.	know … him
forget oneself	filled	827	0	12	0.00	no	A good friend never forgets us.	forgets … us
be oneself	filled	803	0	12	0.00	no	A man's happiness doesn't depend on what he has, but on what he is.	what … is
change oneself	filled	798	1	12	0.08	no	A book can change your life.	change … life
drink something like lemonade	filled	771	10	12	0.83	yes	Let's drink a toast to our friends!	drink … toast
have something on good authority	clitic	661	0	12	0.00	no	A shot in his back and then you would have him out of the way in no time at all.	have … him
have something to show for something	clitic	661	0	12	0.00	no	A shot in his back and then you would have him out of the way in no time at all.	have … him
cut oneself	filled	583	2	12	0.17	no	A Shah may cut off the head of anyone he dislikes.	cut … head
trust someone across the street	filled	570	0	12	0.00	no	A girl works for you for ten years, you trust her.	trust … her
teach someone who's the boss	filled	564	0	12	0.00	no	A premium teacher should teach premium kids.	teach … kids
say to oneself	filled	451	0	12	0.00	no	A relative's come from America and wants to say hello to you.	say … to … you
have something going for one	clitic	438	0	12	0.00	no	After school, you can have it back again.	have … it
know someone	clitic	430	7	12	0.58	no	But we can't, and you know it.	know … it
know someone from the man on the moon	clitic	430	0	12	0.00	no	After all, you know me.	know … me
enjoy oneself	filled	429	5	12	0.42	no	Algerians enjoy access to the Internet.	enjoy … access
carry oneself	filled	405	0	12	0.00	no	A cargo ship carrying munitions explodes in the harbor.	carrying … munitions
beat oneself	filled	381	1	12	0.08	no	Beat it, old jerk, I'm busy.	Beat … it
let one go	filled	374	10	12	0.83	yes	I'll let Tom go.	let … Tom … go
let oneself go	filled	374	0	12	0.00	no	Alika, as the Eagle Woman I command you to let me go.	let … me … go
let someone go	filled	374	11	12	0.92	yes	Just let it go.	let … it … go
pull oneself	filled	356	6	12	0.50	no	Actually, we have to pull it off before he gets here.	pull … it
have someone going	clitic	352	0	12	0.00	no	A shot in his back and then you would have him out of the way in no time at all.	have … him
one's way	filled	350	4	12	0.33	no	A honeybee, all the way to its hive.	way … hive
in something's way	clitic	324	1	12	0.08	no	A caravan of fifty camels slowly made its way through the desert.	its … way
one's way	clitic	324	12	12	1.00	yes		
have something over someone	clitic	309	0	12	0.00	no	After school, you can have it back again.	have … it
good for someone	filled	304	4	12	0.33	no	Doctors are good for nothing.	good … for … nothing
